#theta[deg]	rhozz(theta)/rhozz(0)
0.0000000e+00 1.0000000e+00
1.0471976e-01 1.0000000e+00
2.0943951e-01 1.0000002e+00
3.1415927e-01 1.0000004e+00
4.1887902e-01 1.0000007e+00
5.2359878e-01 1.0000011e+00
6.2831853e-01 1.0000015e+00
7.3303829e-01 1.0000019e+00
8.3775804e-01 1.0000024e+00
9.4247780e-01 1.0000028e+00
1.0471976e+00 1.0000033e+00
1.1519173e+00 1.0000036e+00
1.2566371e+00 1.0000039e+00
1.3613568e+00 1.0000042e+00
1.4660766e+00 1.0000043e+00
1.5707963e+00 1.0000043e+00
1.6755161e+00 1.0000043e+00
1.7802358e+00 1.0000042e+00
1.8849556e+00 1.0000039e+00
1.9896753e+00 1.0000036e+00
2.0943951e+00 1.0000033e+00
2.1991149e+00 1.0000028e+00
2.3038346e+00 1.0000024e+00
2.4085544e+00 1.0000019e+00
2.5132741e+00 1.0000015e+00
2.6179939e+00 1.0000011e+00
2.7227136e+00 1.0000007e+00
2.8274334e+00 1.0000004e+00
2.9321531e+00 1.0000002e+00
3.0368729e+00 1.0000000e+00
3.1415927e+00 1.0000000e+00
